[2025-01-26 20:04:02] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 20:04:02] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 20:04:02] User -> Save Data | district user change id ->Ernakulam@pds| 701802A - 1734008| 702801
[2025-01-26 20:04:02] district User -> Save Data | approve district change yes ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 20:09:57] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 20:09:57] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 20:13:54] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 20:13:54] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734008
[2025-01-26 20:13:54] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 20:58:57] User -> Read  Message ->Ernakulam@pds| Requested JSON -> {"uid":"1d37fcccc1"} | Ernakulam@pds
[2025-01-26 21:03:47] District_User -> Warehouse added ->Ernakulam@pds| Requested JSON -> {"name":"Test Data","type":"motorable","latitude":"23.333","storage":"100","district":"Ernakulam","id":"11A","warehousetype":"swc","longitude":"78.888"}
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| XYZ
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| XYZ
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| XYZ
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| Test Data
[2025-01-26 21:07:37] District User -> FPS added ->Ernakulam@pds| Requested JSON -> {"name":"Test Data","type":"Model FPS","latitude":"23.333","longitude":"78.888","district":"Ernakulam","id":"11A","demand":"100","demand_rice":"110","demand_frice":"120"}
[2025-01-26 21:08:12] District User -> FPS Edit->Ernakulam@pds| Requested JSON -> {"name":"Test Data","uniqueid":"FPS_679656c15f2","active":"1","type":"Model FPS","latitude":"23.333","longitude":"78.888","district":"Ernakulam","id":"11A","demand":"105","demand_rice":"110","demand_frice":"120"}
[2025-01-26 21:09:03] District User -> FPS Edit -> Ernakulam@pds| Thresya Lilly
[2025-01-26 21:09:03] District User -> FPS Edit -> Ernakulam@pds| K P Guild
[2025-01-26 21:09:03] District User -> FPS Edit -> Ernakulam@pds| Jose Manayath Xavier
[2025-01-26 21:09:03] District User -> FPS Edit -> Ernakulam@pds| Dominic Gomez
[2025-01-26 21:09:03] District User -> FPS Edit -> Ernakulam@pds| K. P. Guild
[2025-01-26 21:09:03] District User -> FPS Edit -> Ernakulam@pds| Test Data
[2025-01-26 21:09:28] District User -> FPS Edit->Ernakulam@pds| Requested JSON -> {"name":"Thresya Lilly","uniqueid":"FPS_6796454bbf4","active":"1","type":"Normal FPS","latitude":"10.0294","longitude":"76.2549","district":"Ernakulam","id":"1734001","demand":"1","demand_rice":"66","demand_frice":"2"}
[2025-01-26 21:09:30] District User -> Normal FPS InActive -> Ernakulam@pds| 
[2025-01-26 21:09:31] District User -> Normal FPS Active -> Ernakulam@pds| 
[2025-01-26 21:09:32] District User -> Model FPS InActive -> Ernakulam@pds| 
[2025-01-26 21:09:34] District User -> Model FPS Active -> Ernakulam@pds| 
[2025-01-26 21:09:40] District User -> FPS deleted -> Ernakulam@pds| Requested JSON -> {"uid":"all"} | 
[2025-01-26 21:10:23] District User -> FPS Added -> Ernakulam@pds| Thresya Lilly
[2025-01-26 21:10:24] District User -> FPS Added -> Ernakulam@pds| K P Guild
[2025-01-26 21:10:25] District User -> FPS Added -> Ernakulam@pds| Jose Manayath Xavier
[2025-01-26 21:10:26] District User -> FPS Added -> Ernakulam@pds| Dominic Gomez
[2025-01-26 21:10:26] District User -> FPS Added -> Ernakulam@pds| K. P. Guild
[2025-01-26 21:10:26] District User -> FPS Added -> Ernakulam@pds| Test Data
[2025-01-26 21:29:30] District User -> FPS deleted -> Ernakulam@pds| Requested JSON -> {"uid":"all"} | 
[2025-01-26 21:30:27] District User -> FPS Added -> Ernakulam@pds| Thresya Lilly
[2025-01-26 21:30:27] District User -> FPS Added -> Ernakulam@pds| K P Guild
[2025-01-26 21:30:27] District User -> FPS Added -> Ernakulam@pds| Jose Manayath Xavier
[2025-01-26 21:30:27] District User -> FPS Added -> Ernakulam@pds| Dominic Gomez
[2025-01-26 21:30:27] District User -> FPS Added -> Ernakulam@pds| K. P. Guild
[2025-01-26 21:31:51] District User -> Mill added ->Ernakulam@pds| Requested JSON -> {"name":"Test Data","type":"Mill","latitude":"23.333","longitude":"78.888","district":"Ernakulam","id":"11A","demand":"100","demand_rice":"90"}
[2025-01-26 21:38:11] District User -> FPS InActive -> Ernakulam@pds| K. P. Guild
[2025-01-26 21:38:20] District User -> FPS Active -> Ernakulam@pds| K. P. Guild
[2025-01-26 21:42:30] District User -> Warehouse InActive -> Ernakulam@pds| ABC
[2025-01-26 21:42:32] District User -> Warehouse Active -> Ernakulam@pds| ABC
[2025-01-26 21:44:20] District User -> Warehouse Edit->Ernakulam@pds| Requested JSON -> {"name":"ABC","uniqueid":"WH_67965692d91a","active":"1","type":"motorable","latitude":"10.0097","storage":"19052","district":"Ernakulam","id":"701801","warehousetype":"swc","longitude":"76.3579"}
[2025-01-26 21:44:48] District User -> Warehouse deleted -> Ernakulam@pds| Requested JSON -> {"uid":"WH_67965693c427"} | Test Data
[2025-01-26 21:45:53] District User -> FPS InActive -> Ernakulam@pds| Thresya Lilly
[2025-01-26 21:46:05] District User -> FPS Active -> Ernakulam@pds| Thresya Lilly
[2025-01-26 21:47:25] District User -> FPS added ->Ernakulam@pds| Requested JSON -> {"name":"Test Data","type":"Normal FPS","latitude":"23.333","longitude":"78.888","district":"Ernakulam","id":"11A","demand":"100","demand_rice":"110","demand_frice":"120"}
[2025-01-26 21:47:29] District User -> FPS InActive -> Ernakulam@pds| Test Data
[2025-01-26 21:47:42] District User -> FPS Active -> Ernakulam@pds| Test Data
[2025-01-26 21:48:05] District User -> FPS Edit->Ernakulam@pds| Requested JSON -> {"name":"Test Data","uniqueid":"FPS_67966015872","active":"1","type":"Normal FPS","latitude":"23.333","longitude":"78.888","district":"Ernakulam","id":"11A","demand":"100","demand_rice":"110","demand_frice":"130"}
[2025-01-26 21:48:20] District User -> FPS deleted -> Ernakulam@pds| Requested JSON -> {"uid":"FPS_67966015872"} | Test Data
[2025-01-26 21:48:55] District User -> Mill deleted -> Ernakulam@pds| Requested JSON -> {"uid":"DCP_67965c6f3fc"} | Test Data
[2025-01-26 21:49:12] District User -> Mill added ->Ernakulam@pds| Requested JSON -> {"name":"Test Data","type":"Mill","latitude":"23.333","longitude":"78.888","district":"Ernakulam","id":"11A","demand":"100","demand_rice":"90"}
[2025-01-26 21:51:23] District User -> Mill Active -> Ernakulam@pds| Test Data
[2025-01-26 21:51:27] District User -> Mill InActive -> Ernakulam@pds| Test Data
[2025-01-26 21:51:30] District User -> Mill Active -> Ernakulam@pds| Test Data
[2025-01-26 21:52:08] District User -> Mill Edit->Ernakulam@pds| Requested JSON -> {"name":"Test Data","uniqueid":"DCP_679660809a5","active":"1","type":"Mill","latitude":"23.333","longitude":"78.888","district":"Ernakulam","id":"11A","demand":"100","demand_rice":"100"}
[2025-01-26 21:52:31] District User -> Mill deleted -> Ernakulam@pds| Requested JSON -> {"uid":"DCP_679660809a5"} | Test Data
[2025-01-26 21:53:02] District User -> Mill deleted -> Ernakulam@pds| Requested JSON -> {"uid":"all"} | 
[2025-01-26 21:54:34] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:34] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:34] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:35] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:54:36] District User -> Mill Added -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 21:56:08] District User -> Mill Edit -> Ernakulam@pds| xyz
[2025-01-26 22:49:12] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 22:49:12] User -> Save Data | district user change id ->Ernakulam@pds| 701802A - 1734005| same
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734008
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734008
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734008
[2025-01-26 22:54:54] district User -> Save Data | approve district change yes ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 505801 - 1419002
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 505801 - 1419002
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 505801 - 1419002
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419004
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419006
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419008
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419010
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419004
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419006
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419008
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419010
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419004
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419006
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419008
[2025-01-26 23:01:06] district User -> Save Data | approve district change yes ->Alappuzha@pds| 30401 - 1419010
